17
317 497 20 20 0.5 0.5 0.5
652 541 20 20 0.5 0.5 0.5
502 352 7 60 0.0875 0.875 0.6875
829 393 7 60 0.0875 0.875 0.6875
870 228 7 60 0.0875 0.875 0.6875
1110 248 7 60 0.0875 0.875 0.6875
1133 371 7 60 0.0875 0.875 0.6875
1062 524 7 60 0.0875 0.875 0.6875
863 554 7 60 0.0875 0.875 0.6875
921 668 7 60 0.0875 0.875 0.6875
1244 632 7 60 0.0875 0.875 0.6875
1336 394 7 60 0.0875 0.875 0.6875
1282 195 7 60 0.0875 0.875 0.6875
1073 106 7 60 0.0875 0.875 0.6875
856 124 7 60 0.0875 0.875 0.6875
646 202 7 60 0.0875 0.875 0.6875
641 320 7 60 0.0875 0.875 0.6875
